jaw;larynx;lip;F1;F2;ScaledF1;ScaledF2;Note;
17.0;85.0;R;558;1217;698,5333333;1523,503704;N/a;
21.0;95.0;R;561;1232;702,2888889;1542,281481;N/a;
25.0;110.0;S;561;1262;702,2888889;1579,837037;N/a;
20.0;100.0;S;563;1368;704,7925926;1712,533333;N/a;
22.0;95.0;R;563;1220;704,7925926;1527,259259;N/a;
19.0;90.0;R;564;1268;706,0444444;1587,348148;N/a;
24.0;100.0;R;564;1205;706,0444444;1508,481481;N/a;
18.0;85.0;R;566;1240;708,5481481;1552,296296;N/a;
21.0;100.0;S;568;1309;711,0518519;1638,674074;N/a;
19.0;95.0;S;571;1379;714,8074074;1726,303704;N/a;
24.0;105.0;S;571;1278;714,8074074;1599,866667;N/a;
17.0;90.0;S;578;1360;723,5703704;1702,518519;N/a;
20.0;90.0;R;578;1258;723,5703704;1574,82963;N/a;
22.0;100.0;S;578;1358;723,5703704;1700,014815;N/a;
23.0;95.0;R;578;1232;723,5703704;1542,281481;N/a;
18.0;90.0;S;579;1370;724,8222222;1715,037037;N/a;
25.0;100.0;R;579;1217;724,8222222;1523,503704;N/a;
23.0;100.0;S;581;1295;727,3259259;1621,148148;N/a;
16.0;85.0;S;584;1378;731,0814815;1725,051852;N/a;
25.0;105.0;S;586;1285;733,5851852;1608,62963;N/a;
20.0;95.0;S;593;1408;742,3481481;1762,607407;N/a;
19.0;85.0;R;594;1308;743,6;1637,422222;N/a;
21.0;90.0;R;596;1288;746,1037037;1612,385185;N/a;
22.0;90.0;R;598;1273;748,6074074;1593,607407;N/a;
22.0;95.0;S;598;1335;748,6074074;1671,222222;N/a;
24.0;100.0;S;598;1309;748,6074074;1638,674074;N/a;
21.0;95.0;S;599;1355;749,8592593;1696,259259;N/a;
20.0;85.0;R;601;1296;752,362963;1622,4;N/a;
24.0;95.0;R;601;1267;752,362963;1586,096296;N/a;
19.0;90.0;S;604;1425;756,1185185;1783,888889;N/a;
17.0;85.0;S;609;1398;762,3777778;1750,088889;N/a;
18.0;85.0;S;611;1410;764,8814815;1765,111111;N/a;
23.0;90.0;R;613;1290;767,3851852;1614,888889;N/a;
23.0;95.0;S;614;1343;768,637037;1681,237037;N/a;
25.0;100.0;S;614;1318;768,637037;1649,940741;N/a;
25.0;95.0;R;616;1282;771,1407407;1604,874074;N/a;
20.0;90.0;S;619;1388;774,8962963;1737,57037;N/a;
22.0;85.0;R;623;1317;779,9037037;1648,688889;N/a;
21.0;85.0;R;624;1338;781,1555556;1674,977778;N/a;
24.0;90.0;R;631;1320;789,9185185;1652,444444;N/a;
19.0;85.0;S;639;1473;799,9333333;1843,977778;N/a;
21.0;90.0;S;639;1413;799,9333333;1768,866667;N/a;
22.0;90.0;S;639;1392;799,9333333;1742,577778;N/a;
24.0;95.0;S;639;1377;799,9333333;1723,8;N/a;
23.0;85.0;R;641;1347;802,437037;1686,244444;N/a;
20.0;85.0;S;646;1430;808,6962963;1790,148148;N/a;
25.0;90.0;R;649;1342;812,4518519;1679,985185;N/a;
23.0;90.0;S;656;1403;821,2148148;1756,348148;N/a;
25.0;95.0;S;656;1390;821,2148148;1740,074074;N/a;
24.0;85.0;R;663;1382;829,9777778;1730,059259;N/a;
22.0;85.0;S;669;1440;837,4888889;1802,666667;N/a;
21.0;85.0;S;671;1467;839,9925926;1836,466667;N/a;
24.0;90.0;S;676;1431;846,2518519;1791,4;N/a;
25.0;85.0;R;681;1412;852,5111111;1767,614815;N/a;
23.0;85.0;S;689;1465;862,5259259;1833,962963;N/a;
25.0;90.0;S;696;1451;871,2888889;1816,437037;N/a;
24.0;85.0;S;713;1498;892,5703704;1875,274074;N/a;
25.0;85.0;S;733;1524;917,6074074;1907,822222;Fit for Wa;
